region,woreda,Total Households,Total Population,GPS Coordinates Count,Avg Distance to HF,Total Male U5,Total Female U5,Total U5 Children,Vaccinated U5 Children,Zero Dose Children,Under Vaccinated Children,Screened Children for malnutrition,Malnourished Children,Eligible Girls 9‑14,HPV Vaccinated Girls 9‑14,Eligible Pregnant Women,Td Vaccinated Pregnant Women,COVID Eligible (>12),COVID 1st Dose,COVID 2nd Dose,COVID All Doses,Above 12 Yrs,> 60 Yrs,Immunocompromised,Comorbidities,Informed High Risk,Avg Family Size
TigrayRegion,Endamekoni,17228,76049.0,15987,6.844265149756211,5957.0,5111.0,11068.0,1478,65.0,80.0,6877,382.0,4343.0,3227,1198.0,842.0,30039,23584.0,10961.0,3985.0,30039,1494.0,109.0,34.0,70.0,4.41
TigrayRegion,Enticho_town,5521,21960.0,5429,1.9757290345951821,1994.0,1855.0,3849.0,775,3.0,4.0,2653,83.0,1127.0,969,434.0,364.0,12979,9657.0,10045.0,1033.0,12979,602.0,36.0,232.0,69.0,3.98
TigrayRegion,Hahayle,12462,53026.0,11027,5.499438292408923,4030.0,2863.0,6893.0,1103,32.0,32.0,4217,459.0,3067.0,2414,1018.0,626.0,32248,19815.0,13411.0,3159.0,32248,2669.0,174.0,186.0,149.0,4.26
TigrayRegion,Keyih_Tekli,13627,64245.0,10220,5.61292926328148,7774.0,6472.0,14246.0,2041,66.0,123.0,7670,393.0,3829.0,2971,1660.0,975.0,32022,25242.0,6797.0,5637.0,32022,1010.0,36.0,77.0,68.0,4.71
TigrayRegion,Kola_Temben,20103,91752.0,16578,5.712869333596409,10013.0,7848.0,17861.0,2499,117.0,111.0,8872,1284.0,6467.0,4185,3094.0,1499.0,46080,31523.0,15084.0,9578.0,46080,3337.0,44.0,381.0,271.0,4.56
TigrayRegion,Nekesege,6609,27559.0,5602,13.086397336964746,2464.0,2284.0,4748.0,545,98.0,102.0,2818,716.0,1690.0,1288,479.0,344.0,12496,8489.0,8634.0,6510.0,12496,764.0,84.0,53.0,9.0,4.17
TigrayRegion,Ofla,26327,118775.0,25165,6.275220445374384,10313.0,8476.0,18789.0,2748,131.0,256.0,11793,831.0,7338.0,5482,2025.0,1384.0,59015,4090.0,708.0,622.0,59015,1894.0,84.0,47.0,74.0,4.51
TigrayRegion,RayaAlamataWoreda,1,20.0,1,5.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,20.0
TigrayRegion,Raya_Alamata,23354,101834.0,22270,7.731223773229425,9516.0,7286.0,16802.0,1834,115.0,100.0,10978,686.0,6275.0,3883,1384.0,983.0,39475,5760.0,929.0,944.0,39475,924.0,37.0,526.0,12.0,4.36
TigrayRegion,Raya_Azebo,20914,83763.0,10898,5.226142665901702,7564.0,5173.0,12737.0,1671,199.0,52.0,8437,972.0,4811.0,3577,1652.0,1281.0,27670,20013.0,15282.0,7546.0,27670,1106.0,129.0,152.0,26.0,4.01
TigrayRegion,Raya_Chercher,11583,50786.0,6920,5.37675904342571,4294.0,3506.0,7800.0,954,29.0,42.0,4294,172.0,2651.0,1667,592.0,320.0,18152,5524.0,2222.0,982.0,18152,695.0,65.0,8.0,18.0,4.38
TigrayRegion,Tankuamilash,9867,49206.0,9447,7.126684909293605,4400.0,3280.0,7680.0,1089,32.0,37.0,3448,409.0,3660.0,2665,734.0,520.0,26050,18819.0,9005.0,1010234896.0,26050,727.0,6.0,18.0,37.0,4.99
TigrayRegion,Zata,6224,27599.0,4695,6.448586118251928,2675.0,2305.0,4980.0,486,43.0,158.0,858,158.0,1616.0,473,547.0,115.0,13443,182.0,180.0,165.0,13443,112.0,0.0,2.0,7.0,4.43
